336->96, 0.373, 0.405 
336->192, 0.417, 0.431 
336->336, 0.434, 0.446 
336->720, 0.471, 0.478 
336->96, 0.371, 0.399 
336->192, 0.397, 0.419 
336->336, 0.411, 0.425 
336->720, 0.455, 0.467 
336->96, 0.288, 0.344 
336->192, 0.348, 0.382 
336->336, 0.372, 0.405 
336->720, 0.398, 0.431 
336->96, 0.378, 0.403 
336->192, 0.414, 0.426 
336->336, 0.432, 0.438 
336->720, 0.436, 0.459 
336->96, 0.377, 0.403 
336->192, 0.419, 0.429 
336->336, 0.430, 0.436 
336->720, 0.592, 0.551 
336->192, 0.416, 0.427 
336->336, 0.427, 0.434 
336->720, 0.535, 0.522 
336->96, 0.296, 0.355 
336->192, 0.362, 0.398 
336->336, 0.385, 0.419 
336->720, 0.442, 0.464 
336->96, 0.294, 0.353 
336->336, 0.383, 0.418 
336->720, 0.441, 0.463 
336->96, 0.289, 0.349 
336->192, 0.360, 0.395 
336->96, 0.389, 0.411 
336->192, 0.424, 0.434 
336->336, 0.380, 0.415 
336->336, 0.433, 0.440 
336->720, 0.435, 0.459 
336->720, 0.438, 0.461 
336->96, 0.169, 0.262 
336->96, 0.293, 0.347 
336->192, 0.229, 0.304 
336->192, 0.337, 0.374 
336->336, 0.282, 0.338 
336->336, 0.367, 0.394 
336->720, 0.366, 0.392 
336->720, 0.414, 0.424 
336->96, 0.375, 0.402 
336->96, 0.286, 0.345 
336->192, 0.419, 0.429 
336->336, 0.443, 0.447 
336->720, 0.456, 0.471 
336->192, 0.359, 0.389 
336->336, 0.380, 0.410 
336->720, 0.414, 0.443 
336->96, 0.292, 0.350 
336->96, 0.383, 0.406 
336->192, 0.362, 0.393 
336->192, 0.417, 0.428 
336->336, 0.433, 0.442 
336->720, 0.455, 0.472 
336->336, 0.378, 0.411 
336->720, 0.423, 0.450 
336->96, 0.291, 0.351 
336->96, 0.172, 0.223 
336->192, 0.362, 0.393 
336->336, 0.377, 0.410 
336->720, 0.425, 0.450 
336->96, 0.379, 0.404 
336->192, 0.412, 0.424 
336->96, 0.157, 0.210 
336->336, 0.427, 0.435 
336->720, 0.448, 0.468 
336->192, 0.413, 0.425 
336->336, 0.425, 0.433 
336->720, 0.446, 0.466 
336->192, 0.200, 0.250 
336->192, 0.410, 0.423 
336->336, 0.421, 0.430 
336->720, 0.446, 0.466 
336->336, 0.253, 0.289 
336->720, 0.324, 0.339 
336->96, 0.286, 0.350 
336->192, 0.350, 0.390 
336->336, 0.367, 0.408 
336->720, 0.419, 0.448 
336->192, 0.412, 0.427 
336->336, 0.438, 0.444 
336->720, 0.452, 0.468 
336->96, 0.284, 0.344 
336->192, 0.354, 0.389 
336->336, 0.373, 0.409 
336->720, 0.421, 0.449 
336->96, 0.378, 0.400 
336->96, 0.284, 0.345 
336->192, 0.411, 0.421 
336->336, 0.428, 0.433 
336->720, 0.457, 0.469 
336->192, 0.354, 0.390 
336->336, 0.374, 0.411 
336->720, 0.421, 0.449 
336->96, 0.382, 0.406 
336->96, 0.287, 0.346 
336->192, 0.414, 0.427 
336->192, 0.356, 0.389 
336->336, 0.436, 0.443 
336->720, 0.436, 0.459 
336->336, 0.372, 0.406 
336->720, 0.411, 0.442 
336->96, 0.388, 0.412 
336->192, 0.428, 0.438 
336->96, 0.286, 0.346 
336->336, 0.446, 0.448 
336->720, 0.453, 0.470 
336->192, 0.351, 0.387 
336->336, 0.367, 0.406 
336->720, 0.414, 0.445 
336->96, 0.382, 0.403 
336->96, 0.289, 0.349 
336->192, 0.412, 0.422 
336->192, 0.358, 0.393 
336->336, 0.430, 0.435 
336->720, 0.444, 0.461 
336->336, 0.381, 0.414 
336->720, 0.422, 0.448 
336->96, 0.285, 0.346 
336->96, 0.378, 0.403 
336->192, 0.416, 0.428 
336->192, 0.350, 0.386 
336->336, 0.433, 0.440 
336->720, 0.447, 0.464 
336->336, 0.372, 0.408 
336->720, 0.420, 0.447 
336->96, 0.381, 0.407 
336->192, 0.415, 0.428 
336->336, 0.436, 0.443 
336->720, 0.479, 0.487 
336->96, 0.294, 0.351 
336->192, 0.358, 0.391 
336->336, 0.374, 0.409 
336->720, 0.425, 0.450 
336->96, 0.379, 0.404 
336->192, 0.411, 0.424 
336->336, 0.432, 0.440 
336->720, 0.432, 0.457 
336->96, 0.284, 0.345 
336->192, 0.351, 0.386 
336->336, 0.369, 0.406 
336->720, 0.419, 0.447 
336->96, 0.379, 0.404 
336->192, 0.411, 0.424 
336->336, 0.423, 0.433 
336->720, 0.429, 0.454 
336->96, 0.389, 0.406 
336->192, 0.421, 0.426 
336->336, 0.440, 0.442 
336->720, 0.462, 0.471 
336->96, 0.296, 0.352 
336->192, 0.353, 0.386 
336->336, 0.375, 0.411 
336->720, 0.423, 0.449 
336->96, 0.166, 0.259 
336->96, 0.293, 0.347 
336->192, 0.222, 0.297 
336->192, 0.332, 0.372 
336->336, 0.277, 0.337 
336->720, 0.367, 0.391 
336->336, 0.360, 0.391 
336->720, 0.413, 0.421 
336->96, 0.292, 0.346 
336->336, 0.364, 0.392 
336->720, 0.419, 0.425 
336->96, 0.391, 0.413 
336->96, 0.288, 0.343 
336->192, 0.425, 0.434 
336->336, 0.436, 0.444 
336->192, 0.358, 0.385 
336->720, 0.439, 0.465 
336->336, 0.378, 0.405 
336->720, 0.392, 0.428 
336->96, 0.305, 0.352 
336->96, 0.168, 0.260 
336->192, 0.337, 0.372 
336->192, 0.224, 0.298 
336->336, 0.270, 0.329 
336->336, 0.361, 0.391 
336->720, 0.357, 0.384 
336->720, 0.405, 0.420 
336->96, 0.388, 0.410 
336->192, 0.418, 0.430 
336->336, 0.437, 0.443 
336->720, 0.458, 0.476 
336->96, 0.385, 0.407 
336->192, 0.417, 0.427 
336->336, 0.436, 0.442 
336->720, 0.447, 0.472 
336->96, 0.293, 0.351 
336->192, 0.360, 0.394 
336->336, 0.382, 0.416 
