Detected kernel version 4.15.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
hour1
SimMTM
input_len:336
backbone:vanilla
encoder_depth:1
mask_size:336
mask_rate:0.25
mask_num:3
is_decomp:True
is_norm:True
CI:True
part:s
decomp:fft
st_sep:3.5
topk:25
epoch: 1/20
tensor(3.2189, device='cuda:0', grad_fn=<AddBackward0>)
tensor(3.2605, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.9577, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.9015, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8846, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7914, device='cuda:0', grad_fn=<AddBackward0>)
tensor(3.0030, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.9601, device='cuda:0', grad_fn=<AddBackward0>)
tensor(3.0427, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7678, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.9488, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.9034, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8751, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8319, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8211, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8238, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7906, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6327, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7652, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7632, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7870, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7059, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7237, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6291, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7501, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6345, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7399, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6032, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5735, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8907, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6745, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5624, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6972, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6148, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6388, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5933, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4683, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4716, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5678, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6350, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4662, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5105, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5501, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5945, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5039, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4667, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5632, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4833, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6304, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5302, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6052, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5348, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4942, device='cuda:0', grad_fn=<AddBackward0>)
