Detected kernel version 4.15.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
min2
SimMTM
input_len:336
backbone:vanilla
encoder_depth:1
mask_size:336
mask_rate:0.25
mask_num:3
is_decomp:True
is_norm:True
CI:True
part:s
decomp:fft
st_sep:3.5
topk:25
epoch: 1/20
tensor(2.9814, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8668, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8282, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8742, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.9933, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8281, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8050, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8061, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7159, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8562, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8766, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7574, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7391, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7819, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6880, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7776, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6723, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7433, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6390, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6427, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6314, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.7209, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6313, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6227, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6476, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6407, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6567, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6460, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5889, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6921, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5971, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5659, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6767, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5541, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5777, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5321, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5468, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5912, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5187, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5184, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5797, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5468, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5260, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6099, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5542, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5699, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.6252, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4830, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5905, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4646, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5400, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5519, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5588, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4255, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4702, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5718, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4858, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5416, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4349, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4415, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4636, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3988, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3587, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4046, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4467, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4623, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4762, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4900, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4453, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4529, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3790, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3722, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3983, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4123, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4160, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3300, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3612, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3841, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3858, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3668, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4402, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3589, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3645, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3263, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4195, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4244, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3984, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4111, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3415, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3726, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3144, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4481, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4372, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2557, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3536, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2961, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3075, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2529, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2659, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3081, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2990, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2407, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2728, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3338, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3132, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2777, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2156, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3537, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3518, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3187, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3025, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3795, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2624, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3074, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2514, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2280, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2352, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1709, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2439, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2255, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2231, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2203, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2633, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2637, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2824, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2773, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1921, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2157, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1950, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1877, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2078, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2777, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1908, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2127, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2500, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1909, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2059, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1708, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1950, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2581, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2211, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2474, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2695, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2253, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1589, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2239, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3560, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1274, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1661, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1215, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1882, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1633, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1828, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1370, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1510, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1301, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1733, device='cuda:0', grad_fn=<AddBackward0>)
