date,a,b,c
,-0.124428,-0.11028,0.255715
,0.562883,1.758367,3.538107
,0.534288,3.410358,6.982222
,1.113207,5.074056,9.554464
,1.750442,6.201038,10.187222
,2.551491,7.31517,11.013622
,2.104959,7.055787,9.011332
,3.047317,8.159091,6.57086
,3.463081,6.999895,4.490083
,4.002559,6.698055,1.233859
,4.405726,5.882231,-1.178297
,3.941648,5.312367,-3.537103
,4.732156,3.102332,-4.531912
,4.102853,2.50542,-4.249897
,5.054795,1.142555,-2.22999
,4.634772,0.607052,-0.032354
,4.446509,-0.952301,3.723673
,4.899547,-1.652944,7.289119
,4.400486,-1.328493,10.934689
,4.606822,-1.103713,14.314485
,4.747331,-0.742815,15.653444
,3.909977,-0.105939,16.7741
,3.462222,1.690354,16.085146
,3.413539,2.31067,14.773532
,3.709138,4.780738,12.076196
,2.539931,5.716008,8.994175
,2.786565,7.3357,5.949797
,2.562736,8.862543,2.687669
,2.901218,11.197097,2.076057
,1.970207,12.374969,1.6148
,2.208308,12.69263,2.055143
,1.685995,13.63686,4.063367
,1.842202,13.329772,6.979223
,1.819114,13.467501,11.082159
,1.578013,12.629486,14.515094
,1.221166,11.758364,17.669523
,1.021534,10.610363,19.808488
,1.60195,9.296757,21.89541
,1.449649,7.922316,22.799236
,1.709039,7.139689,21.107766
,1.620091,5.90395,20.044431
,1.500962,5.306196,16.88052
,2.038747,4.677037,13.680134
,2.664785,4.987436,10.639388
,2.914866,4.758672,8.841499
,3.807112,5.21352,8.029937
,4.191284,5.479717,7.83259
,4.746168,7.457348,8.692666
,4.493271,8.989028,11.249357
,5.520443,10.733041,13.8937
,6.098419,12.273497,17.841476
,6.956689,13.89074,21.722146
,6.882724,15.281768,25.062808
,7.47763,17.136896,27.278061
,8.073528,18.101989,28.470638
,7.834473,18.605326,28.32621
,8.758823,19.052492,26.742712
,9.36964,19.390504,24.711202
,9.143774,19.545406,22.144525
,9.453879,18.868156,19.488922
,9.429316,18.104288,16.103914
,9.806732,17.007955,13.945648
,10.664121,15.217152,13.883661
,10.948113,14.245525,13.904746
,11.030072,12.949821,15.301797
,10.429859,11.788484,18.205009
,10.945505,11.082107,21.674123
,10.347424,10.611835,24.617964
,10.596562,10.938516,29.083498
,10.461862,11.003874,32.082581
,9.623684,10.280431,34.021316
,9.880618,11.701758,34.321158
,9.60228,12.950737,34.484162
,9.747744,14.426839,32.235498
,9.482579,16.266467,29.956974
,8.755676,18.033505,26.774275
,8.650884,19.832275,23.862485
,8.726256,20.960072,20.961826
,7.772176,22.315771,19.379473
,7.656545,23.849879,19.672626
,7.637133,24.767192,20.59354
,7.395821,25.548087,22.063639
,7.31451,25.311135,25.335778
,7.190067,25.269323,28.577541
,7.267833,23.977655,32.813263
,7.414725,23.85321,35.664646
,7.047514,22.559238,38.237955
,7.302232,21.783815,40.143131
,7.543429,20.430211,40.666999
,7.320585,19.413325,39.546679
,8.001848,18.397507,37.933547
,8.656402,17.514595,35.520996
,8.18403,16.517589,32.099822
,8.663097,16.714367,29.243763
,9.288217,16.542023,27.067564
,9.437848,17.034421,25.641356
,9.816418,18.186747,25.574844
,10.770471,18.992992,27.023966
,11.658024,20.844227,29.542838
,11.984594,21.959148,32.273698
,11.530339,23.727921,36.124266
,12.027737,25.620687,39.529878
,12.50689,27.499518,42.595369
,13.18272,28.451694,45.537005
,13.713579,30.24137,46.435929
,14.5594,30.650782,46.356469
,14.483634,31.87606,45.502686
,15.014409,31.781663,42.514997
,14.864259,31.165543,40.123764
,15.697895,30.749589,36.904909
,15.864218,29.453063,34.542482
,16.33524,28.616526,31.640051
,15.829744,27.321018,31.366639
,16.218118,25.65484,32.122673
,16.552842,25.576462,33.725724
,16.480959,23.981774,35.872997
,17.026718,23.483745,39.130784
,16.021713,22.790171,42.953939
,16.713254,22.833182,46.921206
,16.282311,22.243325,49.817531
,15.534933,23.473664,52.206848
,15.908785,24.017533,52.076126
,15.449285,25.399248,52.176836
,15.539029,26.947065,50.324096
,15.526183,28.849504,47.784442
,14.822792,30.194497,45.02954
,14.413716,30.992739,41.56764
,14.667976,32.826713,38.933493
,13.898718,35.084578,38.173515
,14.364485,36.265043,37.849612
,14.083364,37.120389,38.179587
,13.267524,37.693097,40.568543
,13.766543,38.322098,42.970895
,13.813025,36.85651,46.638825
,13.289597,36.838948,49.992164
,13.50477,35.556254,53.780433
,13.095759,34.923035,56.02509
,13.36519,33.866101,58.162892
,14.10448,31.807746,58.558715
,13.848747,31.034677,57.555749
,14.11737,29.992854,55.869127
,14.096787,29.288266,53.180173
,14.546746,28.518241,49.738998
,14.403967,28.358744,47.20486
,15.290595,28.270497,44.589703
,15.456447,29.271924,43.832278
,16.417431,30.160567,43.700708
,16.431266,31.059333,44.74356
,16.917195,32.979744,47.250872
,17.668126,34.134735,50.588862
,18.214963,35.597889,53.933878
,18.568939,37.833151,57.28004
,18.670013,38.874025,61.019467
,19.395786,40.104188,63.687801
,20.045468,42.627507,64.521674
,20.526706,42.958198,64.505675
,20.548329,43.727529,62.867662
,21.292818,44.158613,60.904585
,21.734329,43.974706,57.326561
,21.545689,42.828754,55.337685
,21.783995,42.223172,52.312021
,21.861015,40.959105,50.185139
,22.339298,39.849723,49.874945
,22.121181,38.309702,49.779805
,22.537665,37.346656,52.086828
,22.73862,36.023163,53.914671
,22.583791,35.344363,57.639455
,22.855757,34.313405,61.367862
,22.015718,34.356271,64.847174
,22.407781,34.337433,67.627085
,22.032326,35.131388,69.660699
,21.877524,36.532092,70.334567
